device-id,timestamp,voltagespectrum,airtemperature,soiltemperature,soiltemperature1,soiltemperature2,soilhumidity,soilelectroconductivity,airhumidity,airpressure,pluviometer,voltagewatermark,windspeed,vpd,solarradiation,swp1,swp2
WS_0020D47E,2022-02-01 01:00:00,,12.55,,,,,,81.4,,0.0,,4.1,0.26,,,
WS_0020D47E,2022-02-01 02:00:00,,12.16,,,,,,83.37,,0.4,,4.5,0.23,,,
WS_0020D47E,2022-02-01 03:00:00,,12.0,,,,,,79.49,,0.4,,4.4,0.28,,,
WS_0020D47E,2022-02-01 04:00:00,,12.35,,,,,,75.0,,0.4,,4.4,0.35,,,
WS_0020D47E,2022-02-01 05:00:00,,12.28,,,,,,75.64,,0.0,,4.7,0.34,,,
WS_0020D47E,2022-02-01 06:00:00,,12.27,,,,,,76.54,,0.0,,4.4,0.33,,,
WS_0020D47E,2022-02-01 07:00:00,,10.24,,,,,,87.96,,2.0,,4.6,0.15,,,
WS_0020D47E,2022-02-01 08:00:00,,9.78,,,,,,90.86,,2.0,,3.2,0.1,,,
WS_0020D47E,2022-02-01 09:00:00,,11.64,,,,,,76.02,,0.2,,2.7,0.32,,,
WS_0020D47E,2022-02-01 10:00:00,,12.68,,,,,,72.19,,0.6,,2.8,0.4,,,
WS_0020D47E,2022-02-01 11:00:00,,11.11,,,,,,70.76,,0.2,,3.4,0.38,,,
WS_0020D47E,2022-02-01 12:00:00,,11.8,,,,,,71.02,,0.2,,3.3,0.4,,,
WS_0020D47E,2022-02-01 13:00:00,,10.85,,,,,,72.67,,0.6,,3.3,0.36,,,
WS_0020D47E,2022-02-01 14:00:00,,8.68,,,,,,81.61,,0.8,,2.7,0.2,,,
WS_0020D47E,2022-02-01 15:00:00,,10.46,,,,,,70.63,,0.0,,3.2,0.37,,,
WS_0020D47E,2022-02-01 16:00:00,,10.01,,,,,,73.02,,0.0,,3.0,0.32,,,
WS_0020D47E,2022-02-01 17:00:00,,9.8,,,,,,71.59,,0.0,,2.8,0.34,,,
WS_0020D47E,2022-02-01 18:00:00,,9.81,,,,,,69.03,,0.0,,2.5,0.37,,,
WS_0020D47E,2022-02-01 19:00:00,,9.89,,,,,,64.75,,0.0,,2.3,0.42,,,
WS_0020D47E,2022-02-01 20:00:00,,9.85,,,,,,67.03,,0.0,,2.4,0.39,,,
WS_0020D47E,2022-02-01 21:00:00,,9.84,,,,,,66.17,,0.0,,1.9,0.41,,,
WS_0020D47E,2022-02-01 22:00:00,,9.71,,,,,,67.12,,0.0,,1.8,0.39,,,
WS_0020D47E,2022-02-01 23:00:00,,9.46,,,,,,68.01,,0.0,,1.8,0.37,,,
WS_0020D47E,2022-02-02 00:00:00,,9.04,,,,,,68.62,,0.2,,1.6,0.35,,,
WS_0020D47E,2022-02-02 01:00:00,,9.35,,,,,,64.33,,0.0,,1.6,0.41,,,
WS_0020D47E,2022-02-02 02:00:00,,9.56,,,,,,56.13,,0.0,,1.9,0.51,,,
WS_0020D47E,2022-02-02 03:00:00,,9.45,,,,,,53.6,,0.0,,2.3,0.54,,,
WS_0020D47E,2022-02-02 04:00:00,,9.24,,,,,,56.1,,0.0,,1.8,0.5,,,
WS_0020D47E,2022-02-02 05:00:00,,9.22,,,,,,55.5,,0.0,,2.1,0.51,,,
WS_0020D47E,2022-02-02 06:00:00,,9.43,,,,,,53.25,,0.0,,2.6,0.54,,,
WS_0020D47E,2022-02-02 07:00:00,,9.48,,,,,,56.95,,0.0,,2.3,0.5,,,
WS_0020D47E,2022-02-02 08:00:00,,10.56,,,,,,57.61,,0.0,,1.9,0.53,,,
WS_0020D47E,2022-02-02 09:00:00,,11.57,,,,,,58.15,,0.0,,2.3,0.56,,,
WS_0020D47E,2022-02-02 10:00:00,,12.46,,,,,,56.97,,0.0,,2.5,0.61,,,
WS_0020D47E,2022-02-02 11:00:00,,13.52,,,,,,55.61,,0.0,,3.0,0.68,,,
WS_0020D47E,2022-02-02 12:00:00,,13.99,,,,,,58.98,,0.0,,2.9,0.65,,,
WS_0020D47E,2022-02-02 13:00:00,,14.19,,,,,,59.81,,0.0,,3.2,0.64,,,
WS_0020D47E,2022-02-02 14:00:00,,14.33,,,,,,61.68,,0.0,,2.9,0.62,,,
WS_0020D47E,2022-02-02 15:00:00,,13.56,,,,,,66.64,,0.0,,4.1,0.51,,,
WS_0020D47E,2022-02-02 16:00:00,,12.94,,,,,,73.28,,0.0,,3.2,0.39,,,
WS_0020D47E,2022-02-02 17:00:00,,12.06,,,,,,81.43,,0.0,,3.3,0.25,,,
WS_0020D47E,2022-02-02 18:00:00,,11.77,,,,,,84.59,,0.0,,3.3,0.2,,,
WS_0020D47E,2022-02-02 19:00:00,,11.85,,,,,,88.16,,0.0,,3.4,0.15,,,
WS_0020D47E,2022-02-02 20:00:00,,11.77,,,,,,89.94,,0.0,,2.6,0.13,,,
WS_0020D47E,2022-02-02 21:00:00,,11.61,,,,,,91.5,,0.0,,2.4,0.11,,,
WS_0020D47E,2022-02-02 22:00:00,,11.01,,,,,,94.48,,0.0,,1.3,0.07,,,
WS_0020D47E,2022-02-02 23:00:00,,10.27,,,,,,85.08,,0.0,,1.3,0.18,,,
WS_0020D47E,2022-02-03 00:00:00,,10.21,,,,,,73.24,,0.0,,1.2,0.32,,,
WS_0020D47E,2022-02-03 01:00:00,,10.51,,,,,,71.59,,0.0,,1.8,0.35,,,
WS_0020D47E,2022-02-03 02:00:00,,10.18,,,,,,77.41,,0.0,,1.3,0.27,,,
WS_0020D47E,2022-02-03 03:00:00,,10.47,,,,,,85.75,,0.0,,2.1,0.17,,,
WS_0020D47E,2022-02-03 04:00:00,,10.43,,,,,,89.54,,0.0,,1.8,0.12,,,
WS_0020D47E,2022-02-03 05:00:00,,9.86,,,,,,88.35,,0.0,,1.8,0.13,,,
WS_0020D47E,2022-02-03 06:00:00,,9.19,,,,,,90.05,,0.0,,1.3,0.11,,,
WS_0020D47E,2022-02-03 07:00:00,,11.07,,,,,,82.2,,0.0,,1.1,0.23,,,
WS_0020D47E,2022-02-03 08:00:00,,12.86,,,,,,78.43,,0.0,,1.2,0.31,,,
WS_0020D47E,2022-02-03 09:00:00,,13.62,,,,,,75.95,,0.0,,1.9,0.37,,,
WS_0020D47E,2022-02-03 10:00:00,,14.28,,,,,,71.09,,0.0,,1.6,0.46,,,
WS_0020D47E,2022-02-03 11:00:00,,15.26,,,,,,65.16,,0.0,,1.6,0.6,,,
WS_0020D47E,2022-02-03 12:00:00,,15.66,,,,,,60.62,,0.0,,1.8,0.69,,,
WS_0020D47E,2022-02-03 13:00:00,,16.27,,,,,,52.29,,0.0,,2.4,0.87,,,
WS_0020D47E,2022-02-03 14:00:00,,16.23,,,,,,48.94,,0.0,,1.9,0.93,,,
WS_0020D47E,2022-02-03 15:00:00,,15.59,,,,,,49.28,,0.0,,1.7,0.89,,,
WS_0020D47E,2022-02-03 16:00:00,,14.37,,,,,,61.89,,0.0,,1.8,0.61,,,
WS_0020D47E,2022-02-03 17:00:00,,12.84,,,,,,65.63,,0.0,,1.6,0.5,,,
WS_0020D47E,2022-02-03 18:00:00,,12.58,,,,,,60.63,,0.0,,1.6,0.56,,,
WS_0020D47E,2022-02-03 19:00:00,,12.05,,,,,,73.12,,0.0,,1.0,0.37,,,
WS_0020D47E,2022-02-03 20:00:00,,9.64,,,,,,84.37,,0.0,,0.8,0.18,,,
WS_0020D47E,2022-02-03 21:00:00,,8.15,,,,,,89.34,,0.0,,0.9,0.11,,,
WS_0020D47E,2022-02-03 22:00:00,,7.75,,,,,,89.32,,0.0,,0.9,0.1,,,
WS_0020D47E,2022-02-03 23:00:00,,7.85,,,,,,87.42,,0.0,,0.8,0.12,,,
WS_0020D47E,2022-02-04 00:00:00,,7.29,,,,,,87.78,,0.0,,0.9,0.12,,,
WS_0020D47E,2022-02-04 01:00:00,,6.79,,,,,,89.66,,0.0,,0.9,0.09,,,
WS_0020D47E,2022-02-04 02:00:00,,5.94,,,,,,92.66,,0.2,,0.9,0.06,,,
WS_0020D47E,2022-02-04 03:00:00,,5.9,,,,,,92.45,,0.0,,0.9,0.06,,,
WS_0020D47E,2022-02-04 04:00:00,,7.93,,,,,,87.57,,0.0,,1.0,0.13,,,
WS_0020D47E,2022-02-04 05:00:00,,9.91,,,,,,82.61,,0.0,,1.2,0.21,,,
WS_0020D47E,2022-02-04 06:00:00,,10.92,,,,,,83.59,,0.0,,1.4,0.21,,,
WS_0020D47E,2022-02-04 07:00:00,,12.48,,,,,,83.28,,0.0,,1.6,0.23,,,
WS_0020D47E,2022-02-04 08:00:00,,13.68,,,,,,86.78,,0.0,,1.9,0.2,,,
WS_0020D47E,2022-02-04 09:00:00,,14.42,,,,,,85.83,,0.0,,1.8,0.23,,,
WS_0020D47E,2022-02-04 10:00:00,,15.13,,,,,,84.0,,0.0,,2.1,0.27,,,
WS_0020D47E,2022-02-04 11:00:00,,15.98,,,,,,77.05,,0.0,,2.2,0.41,,,
WS_0020D47E,2022-02-04 12:00:00,,16.35,,,,,,73.76,,0.0,,2.1,0.48,,,
WS_0020D47E,2022-02-04 13:00:00,,16.31,,,,,,76.51,,0.0,,2.0,0.43,,,
